waibu_108N	IE/F
waibu_109N	IE/F
waibu_127N	IE/F
waibu_132N	IE/F
waibu_138N	IE/F
waibu_141N	IE/F
waibu_073T	IE
waibu_080N	IE/F
waibu_081T	IE
waibu_082N	IE/F
waibu_084N	IE/F
waibu_092T	IE/F
waibu_097T	IE/F
waibu_099T	IE
waibu_100N	IE/F
waibu_106N	IE/F
waibu_107N	IE/F
waibu_107T	IE
waibu_017N	IE/F
waibu_019T	IE
waibu_023N	IE/F
waibu_030N	IE/F
waibu_040N	IE/F
waibu_060N	IE
waibu_205N	IE/F
waibu_208N	IE/F
waibu_210N	IE/F
waibu_211T	IE
waibu_215N	IE/F
waibu_218N	IE/F
waibu_145N	IE/F
waibu_146N	IE/F
waibu_147N	IE/F
waibu_175T	IE
waibu_177N	IE/F
waibu_179N	IE/F
waibu_180N	IE/F
waibu_186N	IE/F
waibu_188N	IE/F
waibu_191N	IE/F
waibu_196N	IE/F
waibu_196T	IE
waibu_198N	IE/F
waibu_203N	IE/F
waibu_152T	IE
waibu_002N	IE/F
waibu_011N	IE/F
waibu_011T	IE/F
waibu_014N	IE/F
waibu_015N	IE/F
waibu_004N	IE/F
waibu_048T	IE
waibu_079N	IE/F
waibu_056N	IE/F
waibu_056T	IE
waibu_062N	IE/F
waibu_003N	IE/F
waibu_108T	D
waibu_128T	D
waibu_086T	D
waibu_090T	D
waibu_091T	D
waibu_094T	IE
waibu_100T	D
waibu_102T	D
waibu_024T	D
waibu_033T	D
waibu_041T	D
waibu_060T	D
waibu_208T	D
waibu_144T	D
waibu_166T	D
waibu_168T	D
waibu_185T	D
waibu_191T	IE
waibu_198T	D
waibu_003T	D
waibu_004T	D
waibu_014T	D
waibu_088T	D
waibu_054T	D
waibu_062T	D
waibu_070N	IE/F
waibu_105N	IE/F
waibu_036N	IE/F
waibu_077N	IE/F
waibu_109T	D
waibu_129T	D
waibu_070T	F
waibu_071T	D
waibu_080T	D
waibu_083T	D
waibu_106T	D
waibu_012T	D
waibu_016T	D
waibu_029N	F
waibu_029T	D
waibu_031T	D
waibu_046N	F
waibu_049N	F
waibu_036T	D
waibu_039T	F
waibu_043T	F
waibu_205T	F
waibu_217T	D
waibu_218T	D
waibu_144N	D
waibu_168N	F
waibu_174N	F
waibu_178T	D
waibu_179T	D
waibu_180T	D
waibu_181N	D
waibu_194T	D
waibu_006T	F
waibu_001T	D
waibu_049T	D
waibu_057T	D
waibu_055N	F
